Wall time,Step,Value
1787559827.662495,178688,-82.506103515625
1787559828.0969684,178944,-82.74006652832031
1787559828.5486124,179200,-82.581298828125
1787559829.1006033,179456,-82.31803894042969
1787559830.0563745,179968,-82.00540924072266
1787559830.5577884,180224,-82.89066314697266
1787559831.5076594,180736,-82.840576171875
1787559831.9421227,180992,-83.72996520996094
1787559832.4179122,181248,-83.70805358886719
1787559832.8541741,181504,-83.86063385009766
1787559833.3451235,181760,-83.92206573486328
1787559833.7507389,182016,-83.62397766113281
1787559834.2291572,182272,-84.11414337158203
1787559834.6912153,182528,-84.13654327392578
1787559835.2136188,182784,-84.36495971679688
1787559835.7490335,183040,-83.94503784179688
1787559836.1866486,183296,-84.56710815429688
1787559836.6756256,183552,-84.35267639160156
1787559837.0948856,183808,-83.88225555419922
1787559837.51631,184064,-84.31072998046875
1787559837.982239,184320,-84.29605865478516
1787559838.4138882,184576,-84.1769790649414
1787559838.8692205,184832,-84.80352783203125
1787559839.3682954,185088,-84.69930267333984
1787559839.8971636,185344,-85.01539611816406
1787559840.45884,185600,-84.90872192382812
1787559841.0347319,185856,-85.00823211669922
1787559841.5242531,186112,-85.23139190673828
1787559842.0161326,186368,-85.50231170654297
1787559842.5676079,186624,-85.7607421875
1787559842.9674594,186880,-85.25469970703125
1787559843.4354076,187136,-85.6349105834961
1787559843.8131564,187392,-86.21415710449219
1787559844.2763374,187648,-86.40076446533203
1787559844.7182226,187904,-86.02853393554688
1787559845.2076082,188160,-85.74173736572266
1787559845.7329152,188416,-85.62714385986328
1787559846.1640408,188672,-85.89442443847656
1787559847.101031,189184,-85.33209991455078
1787559847.4795866,189440,-84.99359893798828
1787559847.9723747,189696,-84.98861694335938
1787559848.5341074,189952,-85.9862289428711
1787559848.981463,190208,-85.69817352294922
1787559849.4406338,190464,-85.82005310058594
1787559850.061676,190720,-85.5930404663086
1787559850.506024,190976,-84.35913848876953
1787559850.918579,191232,-84.49735260009766
1787559853.2308233,192512,-84.58939361572266
1787559853.7887583,192768,-84.91310119628906
1787559854.1530707,193024,-85.17912292480469
1787559854.9739387,193536,-85.90770721435547
1787559855.4317107,193792,-85.87278747558594
1787559855.9700134,194048,-85.75347900390625
1787559856.3373635,194304,-85.8441162109375
1787559856.8529475,194560,-85.88250732421875
1787559857.8604398,195072,-85.20697784423828
1787559858.3336036,195328,-84.81063842773438
1787559858.8413956,195584,-84.90597534179688
1787559859.3231673,195840,-84.5971908569336
1787559859.8081295,196096,-84.86729431152344
1787559860.3002253,196352,-84.32980346679688
1787559860.8243766,196608,-84.65283966064453
1787559861.27172,196864,-84.7741470336914
1787559861.802545,197120,-84.44868469238281
1787559862.1980429,197376,-83.96466827392578
1787559862.6539085,197632,-84.22232055664062
